id,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
SLV,0.7583199999999999,0.2323564,195711.06,0.69958,0.0201103982,5.38,0.184834,-5.21622,0.48,0.111874,120.36319999999999,3.92,0.57186
SVK,0.70052,0.25414159999999997,177667.42,0.6368,0.0375257068,5.44,0.165488,-7.30534,0.42,0.1593,125.13974,3.92,0.45153999999999994
SWE,0.61656,0.43979999999999997,180226.88,0.5165919999999999,0.053494855,4.92,0.16837600000000003,-8.43174,0.58,0.111028,120.30290000000001,3.78,0.45868000000000003
THA,0.63136,0.32717860000000004,216200.86,0.607,0.0093986892,5.62,0.172344,-6.68028,0.74,0.068896,125.37528,3.96,0.50884
TUR,0.6397200000000001,0.274538,179637.36,0.6638200000000001,0.007898268,6.42,0.197406,-7.578139999999999,0.2,0.115246,124.07078,4.0,0.51882
TWN,0.61234,0.32219099999999995,211419.04,0.62446,0.0001463314,5.8,0.16036799999999998,-6.4828600000000005,0.72,0.058781999999999994,121.68338,3.92,0.490632
UKR,0.72282,0.3071392,160182.7,0.64656,0.0654546448,6.06,0.160834,-7.03702,0.34,0.102336,119.89746,3.92,0.50018
URY,0.7419,0.22910740000000002,175821.46,0.65886,8.75988e-05,6.12,0.176286,-5.47912,0.62,0.107768,113.82868,3.92,0.664
USA,0.6389,0.2621693506,200089.46,0.6409600000000001,0.0141356658,5.42,0.185364,-6.8752200000000006,0.64,0.085518,126.79448000000001,3.84,0.449024
VEN,0.77776,0.2793224,196439.76,0.68402,0.012988923000000001,5.0,0.163518,-5.350600000000001,0.44,0.14343,122.1913,3.98,0.547942
VNM,0.7016800000000001,0.478746,198190.62,0.5255,0.023574399400000005,5.66,0.16660799999999998,-8.56554,0.64,0.087926,119.09294,3.88,0.51496
ZAF,0.71986,0.16386676,300221.42,0.560762,0.090792258,5.54,0.117858,-9.96274,0.58,0.09808,117.62174,3.94,0.4803
